2025-06-26 09:48:00,235 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=id%2Clink%2Cblog_title%2Cmovie_id&movie_id=is.null&is_film_review=eq.True "HTTP/2 200 OK"
2025-06-26 09:48:00,241 | INFO | __main__ | Linking movies for 82 reviews
2025-06-26 09:48:00,900 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:00,908 | INFO | __main__ | No movie title found for review 0b0ba4f5-116f-4ad9-83b4-cb511d4a34bf
2025-06-26 09:48:01,240 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:01,249 | INFO | __main__ | No movie title found for review c912e165-5122-46d3-812a-deba01dec7a2
2025-06-26 09:48:01,663 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:01,666 | INFO | __main__ | No movie title found for review 1b3b81e3-186d-4edc-bbec-59828902abde
2025-06-26 09:48:02,258 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:02,260 | INFO | __main__ | No movie title found for review 69b1ff1c-cbae-4ca8-b1c5-24f274403f6d
2025-06-26 09:48:02,998 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:03,001 | INFO | __main__ | No movie title found for review d96fba53-5c6b-4d80-81a9-c1fce425ecd1
2025-06-26 09:48:03,393 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:03,396 | INFO | __main__ | No movie title found for review b7687a3b-3de9-4c2b-b0f6-ad0b568dd692
2025-06-26 09:48:03,818 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:03,821 | INFO | __main__ | No movie title found for review c635a346-3c55-49f9-bd92-3a8d350e61cd
2025-06-26 09:48:04,148 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:04,155 | INFO | __main__ | No movie title found for review 555d3270-fe72-4c04-989c-1a09e5472878
2025-06-26 09:48:04,843 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:04,845 | INFO | __main__ | No movie title found for review 329fcd95-84b5-4fe3-9587-a5ec82766d69
2025-06-26 09:48:05,247 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:05,250 | INFO | __main__ | No movie title found for review 6f336ad9-7d62-43b4-9f23-576419365854
2025-06-26 09:48:05,765 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:05,783 | INFO | __main__ | No movie title found for review 19fc61a2-93d4-4642-9e6e-a90a02cac619
2025-06-26 09:48:05,992 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:05,996 | INFO | __main__ | No movie title found for review 45cd90f9-05fc-4733-924f-57cba8e0d992
2025-06-26 09:48:06,375 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:06,378 | INFO | __main__ | No movie title found for review 18dd2313-c04c-42e5-bd58-867d9ad1779a
2025-06-26 09:48:06,783 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:06,786 | INFO | __main__ | No movie title found for review 29b56c1e-49bb-49e9-afed-db86c82bb974
2025-06-26 09:48:07,095 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:07,096 | INFO | __main__ | No movie title found for review 640cc0d6-f3ff-4d36-bec3-aa60fdb7cdca
2025-06-26 09:48:07,502 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:07,504 | INFO | __main__ | No movie title found for review 567fd48e-3b77-41b7-9827-f86479cf6dbb
2025-06-26 09:48:07,909 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:07,912 | INFO | __main__ | No movie title found for review ae5e6189-d14c-4625-851f-6e577ea89288
2025-06-26 09:48:08,179 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:08,182 | INFO | __main__ | No movie title found for review 1fa62953-478b-4748-a608-67df5c15e38f
2025-06-26 09:48:08,831 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:08,835 | INFO | __main__ | No movie title found for review d12d726f-5077-4e54-a0c7-eada0e4195a1
2025-06-26 09:48:09,240 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:09,243 | INFO | __main__ | No movie title found for review f6706329-4221-401b-8930-37896c170197
2025-06-26 09:48:09,548 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:09,550 | INFO | __main__ | No movie title found for review 589d1119-a8bc-4470-9313-2ac13b1f68ab
2025-06-26 09:48:09,855 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:09,858 | INFO | __main__ | No movie title found for review dedf5226-c859-41c5-af36-90a7fe0500b7
2025-06-26 09:48:10,513 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:10,515 | INFO | __main__ | No movie title found for review 2ce55611-030e-4908-8483-97210f7d2a6a
2025-06-26 09:48:10,981 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:10,984 | INFO | __main__ | No movie title found for review 170bdad7-c2cf-44ea-aced-9c91caef29ff
2025-06-26 09:48:11,288 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:11,291 | INFO | __main__ | No movie title found for review 3a37b348-2ea4-4a46-9820-272addba901a
2025-06-26 09:48:11,903 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:11,906 | INFO | __main__ | No movie title found for review 7113ef1d-74f2-4b37-b24b-d7b837f60efd
2025-06-26 09:48:12,317 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:12,320 | INFO | __main__ | No movie title found for review 6f8aaef3-41cd-40cd-9057-1dbc490e2b70
2025-06-26 09:48:12,713 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:12,716 | INFO | __main__ | No movie title found for review 4812fda2-ee2e-4ae0-a3de-8e88fd373197
2025-06-26 09:48:13,133 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:13,136 | INFO | __main__ | No movie title found for review 29c7fcd3-291c-4312-a498-7ad7ed6bb1a7
2025-06-26 09:48:13,547 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:13,549 | INFO | __main__ | No movie title found for review 3b1c6009-60c4-40b4-a649-d1106163f0c6
