2025-06-26 09:52:46,175 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=id%2Cblog_title%2Cshort_review%2Csentiment&sentiment=is.null "HTTP/2 200 OK"
2025-06-26 09:52:46,291 | INFO | __main__ | Generating sentiment for 1000 reviews
2025-06-26 09:52:46,899 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:52:47,161 | INFO | httpx | HTTP Request: PATCH https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?id=eq.49eaee4d-23fa-4380-8bd5-aab8fc070d1c "HTTP/2 200 OK"
2025-06-26 09:52:47,167 | INFO | __main__ | Updated sentiment for 49eaee4d-23fa-4380-8bd5-aab8fc070d1c -> Yes
2025-06-26 09:52:47,945 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:52:48,491 | INFO | httpx | HTTP Request: PATCH https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?id=eq.3df0590d-3f7b-4e2a-b22f-952099f325b3 "HTTP/2 200 OK"
2025-06-26 09:52:48,493 | INFO | __main__ | Updated sentiment for 3df0590d-3f7b-4e2a-b22f-952099f325b3 -> No
2025-06-26 09:52:49,004 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:52:49,263 | INFO | httpx | HTTP Request: PATCH https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?id=eq.e84fa868-ad77-4ad3-96d6-a4551ea44fce "HTTP/2 200 OK"
2025-06-26 09:52:49,265 | INFO | __main__ | Updated sentiment for e84fa868-ad77-4ad3-96d6-a4551ea44fce -> No – not a review
2025-06-26 09:52:49,719 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:52:50,028 | INFO | httpx | HTTP Request: PATCH https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?id=eq.4ce76577-4da7-4357-8092-5882f8f1b5cf "HTTP/2 200 OK"
2025-06-26 09:52:50,030 | INFO | __main__ | Updated sentiment for 4ce76577-4da7-4357-8092-5882f8f1b5cf -> No – not a review
