2025-06-26 10:10:24,949 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=id%2Cblog_title%2Cshort_review%2Csentiment&sentiment=is.null&is_film_review=eq.True "HTTP/2 200 OK"
2025-06-26 10:10:25,005 | INFO | __main__ | Generating sentiment for 1000 reviews
2025-06-26 10:10:25,592 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 10:10:25,600 | INFO | __main__ | Skipping sentiment for a0e64dd0-155d-465d-8b34-4aa92c2a88f3 -> No – not a review
2025-06-26 10:10:25,908 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 10:10:26,161 | INFO | httpx | HTTP Request: PATCH https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?id=eq.039c7af7-7534-4da5-b52f-478540c6ecc0 "HTTP/2 200 OK"
2025-06-26 10:10:26,167 | INFO | __main__ | Updated sentiment for 039c7af7-7534-4da5-b52f-478540c6ecc0 -> Yes
2025-06-26 10:10:26,585 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 10:10:26,588 | INFO | __main__ | Skipping sentiment for 344f014c-838b-4bed-9ffc-527665a1907e -> No – not a review
2025-06-26 10:10:26,980 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 10:10:26,983 | INFO | __main__ | Skipping sentiment for 42c8b621-d23f-4d97-9f76-86a6f39f25d5 -> No - not a review
2025-06-26 10:10:27,403 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 10:10:27,750 | INFO | httpx | HTTP Request: PATCH https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?id=eq.6fa6c1fe-cd3f-4929-81ca-9222d1a9abe3 "HTTP/2 200 OK"
2025-06-26 10:10:27,753 | INFO | __main__ | Updated sentiment for 6fa6c1fe-cd3f-4929-81ca-9222d1a9abe3 -> Maybe
